variable,importance,rank,cumulative
l_SOL47,0.0018657689852758295,101,0.8142715089481868
l_TOP3,0.0018603026508601998,102,0.816131811599047
l_TOP137,0.0018561961971331781,103,0.8179880077961802
l_TOP20,0.0018561707792121335,104,0.8198441785753924
l_TOP125,0.0018211954198664045,105,0.8216653739952587
l_TOP48,0.001818370496164556,106,0.8234837444914233
l_SOL18,0.0017778584934446237,107,0.8252616029848678
l_SOL35,0.0017729433110497679,108,0.8270345462959175
l_TOP112,0.0017720818445224023,109,0.8288066281404399
l_TOP38,0.0017454169419024695,110,0.8305520450823424
l_TOP138,0.0017122902166604198,111,0.8322643352990028
u_LAC6,0.001698824616109578,112,0.8339631599151124
u_TOP3,0.0016955428835750313,113,0.8356587027986874
l_SOL60,0.0016526052581984263,114,0.8373113080568858
l_SOL16,0.0016480178523117733,115,0.8389593259091975
l_TOP47,0.0016418135587864316,116,0.840601139467984
l_TOP65,0.0016390998350593803,117,0.8422402393030434
l_SOL17,0.0016357896921197165,118,0.8438760289951631
l_SOL12,0.0016314533703882302,119,0.8455074823655514
l_TOP68,0.001617209704130793,120,0.8471246920696822
l_TOP143,0.0016121951554021277,121,0.8487368872250843
l_TOP18,0.0015957369819838627,122,0.8503326242070682
l_TOP7,0.0015837741955409333,123,0.8519163984026091
l_TOP32,0.0015757341364301374,124,0.8534921325390392
l_TOP126,0.001568886344712154,125,0.8550610188837514
l_SOL32,0.0015510638781311636,126,0.8566120827618826
l_TOP110,0.0015479300967527025,127,0.8581600128586353
l_TOP103,0.001532141293165834,128,0.8596921541518011
u_TOP47,0.001525205507826369,129,0.8612173596596275
u_TOP103,0.0015225839899634822,130,0.8627399436495911
l_TOP27,0.0015197921536596343,131,0.8642597358032507
l_SOL37,0.0015193171102032023,132,0.8657790529134539
l_TOP26,0.0015102799685536464,133,0.8672893328820076
l_TOP128,0.0015101368171930498,134,0.8687994696992006
u_LAC11,0.0015101334913040362,135,0.8703096031905047
u_SOL55,0.0015087561767101578,136,0.8718183593672149
l_TOP134,0.001507146130682019,137,0.8733255054978969
l_TOP113,0.001490241601296661,138,0.8748157470991935
l_TOP92,0.0014869562895833209,139,0.8763027033887768
l_TOP8,0.0014801966769889755,140,0.8777829000657658
l_SOL28,0.0014693116209543785,141,0.8792522116867202
l_TOP19,0.001462393862922861,142,0.8807146055496431
l_TOP39,0.001450513082193097,143,0.8821651186318362
l_TOP123,0.0014437869893964685,144,0.8836089056212327
l_SOL8,0.0014390491928629923,145,0.8850479548140957
u_SOL35,0.0014304043307302053,146,0.8864783591448259
l_TOP131,0.0014272294507949965,147,0.8879055885956209
l_TOP141,0.0014212391992618806,148,0.8893268277948827
u_TOP117,0.001418182701179465,149,0.8907450104960621
l_TOP12,0.0013964467148197914,150,0.8921414572108819
l_TOP44,0.001391547515936101,151,0.893533004726818
l_TOP11,0.0013885484708523336,152,0.8949215531976703
l_TOP144,0.0013860938367506346,153,0.8963076470344209
l_SOL38,0.0013821620288848916,154,0.8976898090633058
l_TOP4,0.0013791323197533867,155,0.8990689413830592
l_TOP43,0.0013754086415322096,156,0.9004443500245913
l_TOP132,0.0013743935705647517,157,0.9018187435951561
u_TOP11,0.0013610652944235913,158,0.9031798088895797
l_TOP66,0.0013443721003893745,159,0.9045241809899691
l_TOP142,0.0013358244837988998,160,0.905860005473768
