variable,PC1,PC2,PC3,PC4,PC5
l_TOP112,0.012188052187061621,-0.07036934589854482,0.061327224980837716,-0.033673051513450215,-0.0674086898387633
l_TOP113,-0.016193435092242418,0.11102188626311839,0.009966657088737714,0.05473961525706254,-0.015099000042312804
l_TOP132,-0.012125783662742941,0.029467203334888108,0.020229000621875264,-0.008503903887788256,-0.12367963681802069
l_TOP115,0.09757761223414706,0.0460833362528586,-0.042340362310905585,-0.07026769672811332,-0.003079016094851913
l_TOP116,0.08568345058893487,0.06340913405189301,-0.06751286855547717,-0.06107308901068531,0.0049259919028829474
l_TOP117,0.0668629784775257,-0.07805840961818321,0.10789749776317754,-0.05281210371383866,-0.031698520678604014
l_TOP118,0.05459784685418601,-0.06852491355874346,0.036627784863802304,-0.05515277414456529,0.021910379043525597
l_TOP119,0.07415297561097357,-0.10171824070681634,0.07007467457009005,-0.08422205276616836,0.011810733077138553
l_TOP121,0.11496022736944184,0.04246269912501088,-0.022642556655507455,-0.05982481349420856,-0.00023573537703379635
l_TOP123,0.11400089963301682,-0.03871795068082176,0.11268573792872716,-0.007875027007525202,-0.006217137646880475
l_TOP1,-0.10871773228131926,0.02356485740059905,-0.03713400697208389,-0.018643055252098095,-0.04433720697222909
l_TOP2,0.09585062935482236,0.022541035207556275,0.03678960521294793,0.05449738572227323,0.04534309708408223
l_TOP3,-0.0996470449758433,0.04591611755024362,-0.0313258139943057,0.0068714975591215866,-0.07284697137132018
l_TOP4,0.10383695087081939,0.012153487704472372,0.020999433701118182,0.040991239733787155,0.08388972224031128
l_TOP6,0.0880271783734303,0.013935452700522329,0.043564798750918565,0.0346450205592881,0.023455379265326985
l_TOP7,-0.10161202403253973,0.026253029457601065,-0.02438747142731832,-0.009064752119495893,-0.08344967918316537
l_TOP8,0.10814990450741697,0.002157917889637072,0.029286304133008843,0.032214675268326165,0.07513844756315483
l_TOP9,0.033034671887739356,-0.06078918819425735,0.014834352095218648,-0.04181378335566178,0.03143467060775965
l_TOP10,0.11742979807020096,0.00787002240288022,0.0688560844150115,0.04439264696465167,0.04077642316520761
l_TOP11,0.11949051853783228,-0.013546880052376248,0.06052011846518173,0.017765307312276258,0.06523470032522787
l_TOP12,0.10710691010419832,0.03558586996141779,0.04524011106542391,0.054833434624352646,0.059295365576034445
l_TOP13,0.03492164668344559,-0.05999927867468443,0.012724244485607829,-0.03766769424494592,0.0293916511102571
l_TOP14,0.11174616141596962,-0.002545028533598679,0.052118071381622236,0.04931959446476908,0.027475246781301053
l_TOP16,0.10639037441690322,0.029427092586643718,0.03566309853291999,0.058611131280677735,0.051051914961543994
l_TOP17,-0.00754447687068949,-0.0027845814314627205,-0.012180321835344959,0.010579965039197699,0.00223889838966245
l_TOP18,0.009616782526840293,0.008008586787897216,0.0731845415926049,-0.016260609658535905,-0.12056399508685418
l_TOP19,0.004573829394428978,0.022141847559435855,0.049494246089128724,-0.009610070012760439,-0.09379050860696027
l_TOP20,0.006423096432698362,0.022767164583499436,0.05938894604738033,-0.012401135484655282,-0.10082400943663208
l_TOP23,-0.02176155279548872,0.10899579226933029,0.0027690920164611193,0.052787060383718803,-0.0035193721170822204
l_TOP26,0.017171292781759717,-0.014820019256832087,0.08473231672899431,-0.021582281645739276,-0.09544153991269477
l_TOP27,0.024818818046356897,-0.0236960747202272,0.0721760743313718,-0.026490521327381236,-0.08101074811848152
l_TOP28,0.018176143597753443,-0.013744170537225348,0.07637275556900705,-0.019349311092602163,-0.0843662507336734
l_TOP32,0.01648708617371126,-0.026418068665044495,0.09483617425809536,-0.02030833245742926,-0.10758804137523131
l_TOP38,0.04139820387753997,-0.0507947241658689,0.08708308802365793,-0.037084565556696036,-0.09155574901137115
l_TOP39,0.04204376807953682,-0.05427104135019566,0.07430444161908482,-0.04051983857027019,-0.08068428839506124
l_TOP40,0.04302313024583416,-0.05044777360265794,0.08036574183955836,-0.03438453763017142,-0.08764857296190742
l_TOP42,0.10789227089488362,0.0019986646340717507,0.07900476073064547,0.02409203108770419,0.01885730301937874
l_TOP43,0.10322525396892153,0.004263581673108589,0.056404187673499064,0.02174774596091973,0.04525723043076461
l_TOP44,0.11186631602518433,0.011085002078876865,0.062112044801580765,0.02705279397309873,0.04310894672483339
l_TOP46,0.044347621489822575,0.15369706858340235,0.04387670120514341,0.07759740218477114,0.033758474953375986
l_TOP47,0.02875899578525416,0.150938360428079,0.01755718794044498,0.07773896407985142,0.052272203104099454
l_TOP48,0.032543717009747335,0.15815742600354576,0.02860321116570618,0.08054671482437178,0.04333425022105431
l_TOP49,-0.051992120950398714,0.00929937069402724,-0.06119258447175082,0.011125814006550262,0.004265522585125635
l_TOP50,0.1126352102799124,-0.01213197720127444,0.08885491578870924,0.017872970845566685,0.004696915773802002
l_TOP51,0.10450121920590423,-0.020838250889304088,0.07133270409527928,0.006764719365089093,0.020188911191941983
l_TOP52,0.11296551414859259,-0.0078209475219755,0.08105877026415181,0.018225515986500563,0.016857844009121197
l_TOP53,0.08691457673983091,0.06374863245702317,-0.06557216590085438,-0.06758274517458683,0.00902670091911926
l_TOP54,0.11517265765310647,0.04308209819776263,-0.02173607956064639,-0.06559732785480708,0.003585415698377863
l_TOP59,0.10642209068152177,-0.0709162217924169,0.1134378022128796,-0.03846224301700367,-0.008618877035205242
l_TOP61,-0.0024850464471491028,0.00128736291198442,0.009971419161115725,-0.006631597199329856,0.0005213590798917102
l_TOP65,0.048205680159743115,-0.08442568427910116,0.06317838334475233,-0.07053333720302195,0.023366062199495455
l_TOP66,0.06872595251887112,-0.09733779279929364,0.08301081220211133,-0.07282770559182096,0.010995159698456129
l_TOP67,0.06327505123441637,-0.09621151110368358,0.07620661005618486,-0.07687518408048306,0.016405504544243804
l_TOP68,0.0664356313112345,-0.0725351345758079,0.06370892420902789,-0.04908556083808164,-0.000645401741229889
l_TOP69,0.04492118056130406,-0.07665174095743803,0.036049894974940766,-0.07850747522049183,0.013929231233611556
l_TOP73,0.05545573115005262,-0.08900218749228708,0.052799847551097456,-0.0846164412124155,0.023765952857604092
l_TOP74,0.08121722743288055,-0.10935858356775395,0.08814428055965737,-0.07324321503092564,0.003389302641073785
l_TOP75,0.07348599254635332,-0.10541573856702163,0.07362783376706503,-0.086324802757864,0.015316452320856372
l_TOP76,0.07394817721410474,-0.08490793556708774,0.07568408651693832,-0.039942529961502805,-0.003448589349770848
l_TOP79,0.06521875230920766,-0.077962082028033,0.10459541020630403,-0.053114488018457535,-0.029896930042070287
l_TOP85,0.04306405414940877,-0.07586683643175196,0.03544379444769807,-0.07746625655393424,0.01667194451247798
l_TOP89,0.037556324733510976,-0.07164959094023575,0.042713600303960854,-0.06937876095125615,0.02134880448968413
l_TOP90,0.08071530851903005,-0.09861065244446947,0.09092243367314579,-0.07297939817932865,0.007494244969539088
l_TOP91,0.06738055911924148,-0.09633938823306834,0.07309040613301934,-0.08217672171183012,0.016604190815978324
l_TOP92,0.07532559784928243,-0.07197445215403836,0.07250042906371534,-0.04331902692129143,0.00790385048602879
l_TOP93,-0.0010762797850450661,-0.0070411223270222655,0.010040511216935834,-0.025421768216544058,-0.00913208196137317
l_TOP97,-0.005039890911675092,0.009993704938985003,-0.010138756040997683,0.005595951473808593,0.00020484437640513686
l_TOP101,-0.010279544054710647,0.024062741881208657,-0.02068618810184061,-0.02049496833219501,0.025021242824115008
l_TOP102,0.0043467066698428015,0.006337000912715227,0.041410494539994486,-0.0022338445058904715,-0.025445049377147144
l_TOP103,-0.007271466885288875,0.014967318955981756,0.002703487139510036,-0.02008839147079564,0.0012063692836141507
l_TOP104,0.009746212912323773,-0.015322517883694372,0.03593551546254515,0.01852564320166289,-0.031158393006204342
l_TOP105,-0.016164787532437247,0.14535209332141258,-0.021177081460664056,0.08935188680978574,0.02572414648869608
l_TOP106,-0.008652112665971804,0.13940026944084657,-0.02923414639568543,0.07909031857190554,0.027732647143107237
l_TOP107,0.002869956438809909,-0.1194342788532604,-0.02910890325680734,0.004035469606191794,-0.004875447902812005
l_TOP134,-0.004502333161285105,0.06905569582141181,0.019843373864755497,0.027808930792943217,-0.07032731358005133
l_TOP135,-0.002570218995163308,0.06565903302090498,0.009787328214444441,0.03555885290448186,-0.007279140665762036
l_TOP137,0.054431792129692604,0.03406290758310643,-0.009533075923615986,0.011753623326388742,0.08186007796821582
l_TOP138,0.0417471159218112,0.09535685088181484,0.02515013069224602,0.06672366107983504,0.020520795863167615
l_TOP139,0.06226202170582285,0.09476680024910987,0.02429647826649241,0.055847181538733165,0.05760443640950966
l_TOP140,0.034810861774514076,0.10212517551934659,0.019050254128112565,0.0643137386146452,0.02843100359922049
l_TOP141,-0.1022020676485574,0.030449751348076384,-0.03662218630266819,-0.022183394698350796,-0.04760918892240079
l_TOP142,-0.035555511995643684,0.14844823594080986,-0.016055064962616848,0.08274415006194158,-0.025108734463316188
