LABEL,Haplogroup,PC1,PC2
A. torrentium - CSE,CSE,4.42117781463204,-5.175035935327344
A. torrentium - CSE,CSE,1.7790146684882397,-4.798906483282489
A. torrentium - CSE,CSE,-12.466298031101838,-1.9523341580552336
A. torrentium - SB,SB,7.561338677777157,2.3150767200947815
A. torrentium - SB,SB,-0.14961908634493637,5.2836826799878525
A. torrentium - SB,SB,5.479812110032781,4.325532525022627
A. torrentium - CSE,CSE,-10.794931735442217,2.5202477172965763
A. torrentium - SB,SB,5.302867330991406,5.256672823153238
A. torrentium - SB,SB,4.672707791845615,4.874370742272436
A. torrentium - CSE,CSE,-7.519339284521211,-0.6674822508601849
A. torrentium - CSE,CSE,2.1509034201191284,-7.2113796284628355
A. torrentium - CSE,CSE,0.08483546249344312,1.3959336102196587
A. torrentium - CSE,CSE,-2.1283639401417704,1.956247241736615
A. torrentium - CSE,CSE,-3.969764862360418,1.0424754210573366
A. torrentium - CSE,CSE,-2.652226927810745,-4.247872545038845
A. torrentium - CSE,CSE,-6.193510861015472,1.7016052690989156
A. torrentium - CSE,CSE,-2.8152995601782127,-2.416336722406521
A. torrentium - CSE,CSE,-2.2115133170501653,1.1643750364762402
A. torrentium - CSE,CSE,-6.84440440585242,-1.6443524419588977
A. torrentium - CSE,CSE,-4.419047965110609,-0.3615205961048772
A. torrentium - CSE,CSE,-7.964822328032324,2.087696706145776
A. torrentium - CSE,CSE,-5.5396993141304325,1.6211342082856366
A. torrentium - CSE,CSE,-3.086789994391271,0.6346273037108435
A. torrentium - CSE,CSE,1.0362356662058407,2.0748161378827628
A. torrentium - CSE,CSE,5.577518005511127,-7.283397484141924
A. torrentium - CSE,CSE,-5.51500675880883,1.0469257365965452
A. torrentium - CSE,CSE,-4.883981984255199,1.0238362916022696
A. torrentium - CSE,CSE,-3.181176532130392,0.4078257128921015
A. torrentium - CSE,CSE,-6.186905890770019,0.026067706844216432
A. torrentium - CSE,CSE,0.8563152609033858,1.796147500466294
A. torrentium - CSE,CSE,0.8528728525930064,0.22174035819988908
A. torrentium - CSE,CSE,2.5003141481000664,-4.9226438014545835
A. torrentium - CSE,CSE,-3.287148485413358,2.5540060614163247
A. torrentium - CSE,CSE,-0.5056583827184266,1.992668940241998
